postalCode,Longitude,Latitude,burrito,taco,Ratio of Burritos/Taco
95205,-121.224519,37.958242999999996,,61.0,
95242,-121.322128,38.127032,,20.0,
95355,-120.944878,37.675965999999995,,34.0,
95476,-122.470371,38.293075,,8.0,
95616,-121.746377,38.556430999999996,36.0,,
95678,-121.289424,38.765901,59.0,,
95688,-122.00418,38.39676,16.0,,
95815,-121.44574899999999,38.612581,17.0,,
95819,-121.438018,38.569682,,57.0,
95834,-121.520969,38.642678000000004,24.0,,
96150,-120.03527199999999,38.886415,,40.0,
97030,-122.42043500000001,45.499394,,30.0,
97209,-122.681256,45.5318,,30.0,
97218,-122.602923,45.562445000000004,12.0,,
97402,-123.188424,44.057393,,51.0,
97739,-121.531851,43.704905,49.0,,
98112,-122.29298100000001,47.633515,,63.0,
98133,-122.33333999999999,47.73966,,50.0,
98662,-122.55976399999999,45.671298,,7.0,
99207,-117.38671699999999,47.692694,,39.0,
