,postalCode,RestCount,afact,popsum,NP,RMSP,VALP,HINCP
1846,34949,1,1.0,7103.0,2.0,5.0,300000.0,57900.0
1847,34950,1,1.0,15436.0,2.0,5.0,300000.0,57900.0
1848,34952,2,1.0,38285.0,2.0,5.75,337500.0,72225.0
1849,34957,1,1.0,22257.0,2.0,5.0200000000000005,282350.0,62832.6
1850,34974,1,1.0,23661.0,1.0190000000000001,5.0,103325.0,43202.8
1851,34982,1,1.0,24544.0,2.0,5.0710000000000015,303550.0,59256.10000000001
1852,34990,1,1.0,27707.0,2.0,5.035,277625.0,64455.0
1853,34994,3,1.0,15967.000000000002,2.0,5.033000000000001,277475.0,64429.00000000001
1854,34997,3,1.0,40405.0,2.0,5.0,275000.0,64000.0
1855,35007,1,1.0,26225.0,2.0,6.0,140000.0,51400.0
1856,35020,1,1.0,27139.0,2.0,6.000000000000001,510025.0,81401.0
1857,35042,1,1.0,5831.0,2.0,6.0,150000.0,55020.0
1858,35043,1,1.0,9234.0,2.0,6.0,140000.0,51400.0
1859,35044,1,1.0,7713.0,2.0,6.0,150000.0,52000.0
1860,35045,3,1.0,14870.0,2.0,6.0,125000.0,48000.0
1861,35051,1,1.0,8787.0,2.0,6.0,140000.0,51400.0
1862,35055,1,1.0,19427.0,2.0,6.0,140000.0,50300.0
1863,35068,1,1.0,7232.0,2.0,6.0,200000.0,64250.0
1864,35077,1,1.0,13142.0,2.0,6.0,140000.0,50300.0
1865,35085,1,1.0,8933.0,2.0,6.0,125000.0,48000.0
1866,35094,1,1.0,14212.0,2.0,5.31,250400.0,58397.6
1867,35111,1,0.9990000000000001,16123.86,1.9980000000000002,5.994,334010.0,67030.24
1868,35115,1,1.001,14132.118,2.002,6.006,137430.0,50847.96000000001
1869,35148,1,1.0,2702.0,2.0,6.0,140420.0,53178.05
1870,35160,1,1.0,26822.0,2.0,6.0,150000.0,52000.0
1871,35173,1,1.0,25176.0,2.0,5.98,194560.0,62438.0
1872,35203,1,1.0,3798.0,2.0,5.005,225000.0,58358.5
1873,35205,1,1.0,19686.0,2.0,5.15,225000.0,60055.0
1874,35211,1,1.0,26236.0,2.0,5.964,258250.0,70934.0
1875,35226,1,1.0,31471.0,2.0,5.0520000000000005,313000.0,63092.0
1876,35233,2,1.0,1308.0,2.0,5.0,225000.0,58300.0
1877,35235,2,1.0,19484.0,2.0,5.707999999999998,212250.0,62756.8
1878,35243,1,1.0,17328.0,2.0,5.003,299520.0,61968.2
1879,35244,1,1.001,32422.39,2.002,5.67,289840.0,62407.4
1880,35401,3,1.0,39878.0,2.0,6.0,149540.0,53654.0
1881,35470,1,1.0,5468.0,2.0,6.0,150000.0,55020.0
1882,35475,1,1.0,14507.0,2.0,6.0,140000.0,52700.0
1883,35476,1,1.0,8106.0,2.0,6.000000000000001,149170.0,53617.0
1884,35501,1,1.0,10424.0,2.0,6.0,140000.0,53100.0
1885,35540,1,1.0,2415.0,2.0,6.0,140000.0,50300.0
1886,35601,2,1.0,34434.0,2.0,6.0,135500.0,50065.0
1887,35611,4,1.0,25251.0,2.0,6.0,150000.0,51800.0
1888,35630,4,1.0,32629.0,2.0,6.0,145000.0,51200.0
1889,35640,1,1.0,24267.0,2.0,6.0,135500.0,50065.0
1890,35653,2,1.0,11150.0,2.0,6.0,145000.0,51200.0
1891,35661,1,1.0,16617.0,2.0,6.0,145000.0,51200.0
1892,35750,1,1.0,12783.0,2.0,6.0,150000.0,51800.0
1893,35758,1,1.0,41875.0,2.0,6.0,227760.0,67546.4
1894,35759,1,1.0,6406.0,2.0,6.0,150000.0,51800.0
1895,35760,1,1.0,5065.0,2.0,6.0,160000.0,52000.0
1896,35768,1,1.0,11581.0,2.0,6.0,150000.0,52200.0
1897,35801,1,1.0,21509.0,2.0,6.0,250000.0,68950.0
1898,35802,2,1.0,21297.0,2.0,6.0,250000.0,68950.0
1899,35803,5,1.0,25471.0,2.0,6.0,244510.0,67916.05
1900,35805,1,1.0,22498.0,2.0,6.0,248560.0,68881.6
1901,35806,1,1.0,18951.0,2.0,6.0,230000.0,68000.0
1902,35810,1,1.0000000000000002,30617.0,2.0000000000000004,6.0,227620.00000000003,67266.95000000001
1903,35811,2,1.0,25955.0,2.0,6.0,185200.0,57836.8
1904,35901,1,1.0,20045.0,2.0,6.0,150000.0,52598.2
1905,35903,1,1.0,18088.0,2.0,5.999999999999999,150000.0,52598.8
1906,35907,1,1.0,8345.0,2.0,6.0,150000.0,52600.0
1907,35957,1,1.0,15693.0,2.0,6.0,158330.0,51975.8
1908,35960,1,1.0,10087.0,2.0,6.0,150000.0,52000.0
1909,35967,1,1.0,16630.0,2.0,6.0,150000.0,52196.0
1910,35976,3,1.0,16272.0,2.0,6.0,159540.0,51954.3
1911,35986,1,1.0,7744.0,2.0,6.0,150000.0,52200.0
1912,36037,2,1.0,14074.0,2.0,6.0,150000.0,51500.0
1913,36043,1,1.0,3666.0,2.0,6.0,132000.0,52800.0
1914,36054,1,1.0,15066.0,2.0,6.0,132000.0,52800.0
1915,36066,2,1.0,19089.0,2.0,6.0,132000.0,52800.0
1916,36081,1,1.0,15267.0,2.0,6.0,159000.0,57100.0
1917,36083,1,1.0,9563.0,2.0,6.0,159000.0,57100.0
1918,36092,1,1.0,20274.0,2.0,6.0,132000.0,52800.0
1919,36104,2,1.0,9468.0,2.0,6.0,130120.0,52236.0
1920,36105,1,1.0,12043.0,2.0,6.0,130264.0,52279.2
